subject,opponent,seed,num_rounds,first_round,last_round,per_c,per_C,per_cC,per_cD,per_dC,per_dD,avg_score,avg_net_score
DEFT,NYDGcx,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,NYDGxx,0,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,NYDGxx,1,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,NYDGxx,2,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,NYDGxx,3,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,NYDGxx,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_d7,0,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.9798994974874375,4.974874371859296
DEFT,_d7,1,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.9798994974874375,4.974874371859296
DEFT,_d7,2,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.9798994974874375,4.974874371859296
DEFT,_d7,3,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.9798994974874375,4.974874371859296
DEFT,_d7,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.9798994974874375,4.974874371859296
DEFT,_d78,0,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_d78,1,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_d78,2,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_d78,3,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_d78,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_d47,0,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_d47,1,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_d47,2,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_d47,3,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_d47,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_dp15,0,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.577889447236181,4.472361809045226
DEFT,_dp15,1,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.316582914572864,4.1457286432160805
DEFT,_dp15,2,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.5376884422110555,4.422110552763819
DEFT,_dp15,3,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.35678391959799,4.1959798994974875
DEFT,_dp15,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.336683417085427,4.1708542713567835
DEFT,_dp30,0,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.0954773869346734,3.869346733668342
DEFT,_dp30,1,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,3.7738693467336684,3.4673366834170856
DEFT,_dp30,2,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,3.9748743718592965,3.7185929648241207
DEFT,_dp30,3,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,3.6733668341708543,3.341708542713568
DEFT,_dp30,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,3.613065326633166,3.2663316582914574
DEFT,_dp70,0,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,2.3266331658291457,1.6582914572864322
DEFT,_dp70,1,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,2.0050251256281406,1.256281407035176
DEFT,_dp70,2,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,2.2462311557788945,1.5577889447236182
DEFT,_dp70,3,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,2.185929648241206,1.4824120603015076
DEFT,_dp70,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,2.2663316582914574,1.5829145728643217
DEFT,_l7,0,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.9798994974874375,4.974874371859296
DEFT,_l7,1,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.9798994974874375,4.974874371859296
DEFT,_l7,2,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.9798994974874375,4.974874371859296
DEFT,_l7,3,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.9798994974874375,4.974874371859296
DEFT,_l7,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.9798994974874375,4.974874371859296
DEFT,_l78,0,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_l78,1,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_l78,2,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_l78,3,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_l78,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_l47,0,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_l47,1,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_l47,2,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_l47,3,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_l47,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.959798994974874,4.949748743718593
DEFT,_lp15,0,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.577889447236181,4.472361809045226
DEFT,_lp15,1,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.316582914572864,4.1457286432160805
DEFT,_lp15,2,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.5376884422110555,4.422110552763819
DEFT,_lp15,3,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.35678391959799,4.1959798994974875
DEFT,_lp15,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.336683417085427,4.1708542713567835
DEFT,_lp30,0,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,4.0954773869346734,3.869346733668342
DEFT,_lp30,1,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,3.7738693467336684,3.4673366834170856
DEFT,_lp30,2,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,3.9748743718592965,3.7185929648241207
DEFT,_lp30,3,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,3.6733668341708543,3.341708542713568
DEFT,_lp30,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,3.613065326633166,3.2663316582914574
DEFT,_lp70,0,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,2.3266331658291457,1.6582914572864322
DEFT,_lp70,1,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,2.0050251256281406,1.256281407035176
DEFT,_lp70,2,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,2.2462311557788945,1.5577889447236182
DEFT,_lp70,3,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,2.185929648241206,1.4824120603015076
DEFT,_lp70,4,200,1,200,0.0,0.0,0.0,0.0,0.0,0.995,2.2663316582914574,1.5829145728643217
ABNB,TIFT,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TIFT,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TIFT,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TIFT,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TIFT,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TIFTxx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TIFTxx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TIFTxx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TIFTxx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TIFTxx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,FACE,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,FACE,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,FACE,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,FACE,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,FACE,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,TIFTcx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TIFTcx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TIFTcx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TIFTcx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TIFTcx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TFTT,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TFTT,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TFTT,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TFTT,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TFTT,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,RAND,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.7185929648241205,-2.135678391959799
ABNB,RAND,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.35678391959799,-2.7386934673366836
ABNB,RAND,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5226130653266332,-2.4623115577889445
ABNB,RAND,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5075376884422111,-2.487437185929648
ABNB,RAND,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5376884422110553,-2.437185929648241
ABNB,RANDcx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.7185929648241205,-2.135678391959799
ABNB,RANDcx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.4020100502512562,-2.663316582914573
ABNB,RANDcx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.4472361809045227,-2.5879396984924625
ABNB,RANDcx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.4472361809045227,-2.5879396984924625
ABNB,RANDcx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5678391959798994,-2.386934673366834
ABNB,RANDxx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.7185929648241205,-2.135678391959799
ABNB,RANDxx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.4020100502512562,-2.663316582914573
ABNB,RANDxx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.4472361809045227,-2.5879396984924625
ABNB,RANDxx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.4472361809045227,-2.5879396984924625
ABNB,RANDxx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5678391959798994,-2.386934673366834
ABNB,ALTRxx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5075376884422111,-2.487437185929648
ABNB,ALTRxx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5075376884422111,-2.487437185929648
ABNB,ALTRxx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5075376884422111,-2.487437185929648
ABNB,ALTRxx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5075376884422111,-2.487437185929648
ABNB,ALTRxx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5075376884422111,-2.487437185929648
ABNB,ALTRcx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5075376884422111,-2.487437185929648
ABNB,ALTRcx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5075376884422111,-2.487437185929648
ABNB,ALTRcx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5075376884422111,-2.487437185929648
ABNB,ALTRcx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5075376884422111,-2.487437185929648
ABNB,ALTRcx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5075376884422111,-2.487437185929648
ABNB,LIAR,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,LIAR,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,LIAR,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,LIAR,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,LIAR,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,COOP,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,COOP,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,COOP,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,COOP,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,COOP,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,DEFT,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,DEFT,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,DEFT,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,DEFT,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,DEFT,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,ABNB,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,ABNB,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,ABNB,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,ABNB,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,ABNB,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GRUD,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,GRUD,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,GRUD,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,GRUD,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,GRUD,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.0,-5.0
ABNB,GRUDcx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GRUDcx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GRUDcx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GRUDcx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GRUDcx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GRUDxx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GRUDxx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GRUDxx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GRUDxx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GRUDxx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,STRA,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,STRA,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,STRA,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,STRA,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,STRA,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,STRAfv,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.06030150753768844,-4.899497487437186
ABNB,STRAfv,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.06030150753768844,-4.899497487437186
ABNB,STRAfv,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.06030150753768844,-4.899497487437186
ABNB,STRAfv,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.06030150753768844,-4.899497487437186
ABNB,STRAfv,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.06030150753768844,-4.899497487437186
ABNB,STRAcx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.9849246231155777,-0.02512562814070352
ABNB,STRAcx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.9849246231155777,-0.02512562814070352
ABNB,STRAcx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.9849246231155777,-0.02512562814070352
ABNB,STRAcx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.9849246231155777,-0.02512562814070352
ABNB,STRAcx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.9849246231155777,-0.02512562814070352
ABNB,STRAxx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.9849246231155777,-0.02512562814070352
ABNB,STRAxx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.9849246231155777,-0.02512562814070352
ABNB,STRAxx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.9849246231155777,-0.02512562814070352
ABNB,STRAxx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.9849246231155777,-0.02512562814070352
ABNB,STRAxx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.9849246231155777,-0.02512562814070352
ABNB,GRAS,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.969849246231156,-0.05025125628140704
ABNB,GRAS,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.969849246231156,-0.05025125628140704
ABNB,GRAS,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.969849246231156,-0.05025125628140704
ABNB,GRAS,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.969849246231156,-0.05025125628140704
ABNB,GRAS,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.969849246231156,-0.05025125628140704
ABNB,GRAScx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.758793969849246,-0.4020100502512563
ABNB,GRAScx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.7738693467336684,-0.3768844221105528
ABNB,GRAScx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.7437185929648242,-0.4271356783919598
ABNB,GRAScx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.7738693467336684,-0.3768844221105528
ABNB,GRAScx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.758793969849246,-0.4020100502512563
ABNB,GRASxx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.758793969849246,-0.4020100502512563
ABNB,GRASxx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.7738693467336684,-0.3768844221105528
ABNB,GRASxx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.7437185929648242,-0.4271356783919598
ABNB,GRASxx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.7738693467336684,-0.3768844221105528
ABNB,GRASxx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.758793969849246,-0.4020100502512563
ABNB,GROF,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.4773869346733668,-2.5376884422110555
ABNB,GROF,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.2964824120603016,-2.8391959798994977
ABNB,GROF,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.5075376884422111,-2.487437185929648
ABNB,GROF,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.2663316582914572,-2.8894472361809047
ABNB,GROF,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,1.4170854271356783,-2.6381909547738696
ABNB,GROFcx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GROFcx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GROFcx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GROFcx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GROFcx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GROFxx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GROFxx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GROFxx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GROFxx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,GROFxx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,JOSS,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.758793969849246,-0.4020100502512563
ABNB,JOSS,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.592964824120603,-0.678391959798995
ABNB,JOSS,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.7738693467336684,-0.3768844221105528
ABNB,JOSS,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.698492462311558,-0.5025125628140703
ABNB,JOSS,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.6683417085427137,-0.5527638190954773
ABNB,JOSSog,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.758793969849246,-0.4020100502512563
ABNB,JOSSog,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.592964824120603,-0.678391959798995
ABNB,JOSSog,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.7738693467336684,-0.3768844221105528
ABNB,JOSSog,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.698492462311558,-0.5025125628140703
ABNB,JOSSog,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.6683417085427137,-0.5527638190954773
ABNB,JOSScx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.758793969849246,-0.4020100502512563
ABNB,JOSScx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.592964824120603,-0.678391959798995
ABNB,JOSScx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.7738693467336684,-0.3768844221105528
ABNB,JOSScx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.698492462311558,-0.5025125628140703
ABNB,JOSScx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.6683417085427137,-0.5527638190954773
ABNB,JOSSxx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.758793969849246,-0.4020100502512563
ABNB,JOSSxx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.592964824120603,-0.678391959798995
ABNB,JOSSxx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.7738693467336684,-0.3768844221105528
ABNB,JOSSxx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.698492462311558,-0.5025125628140703
ABNB,JOSSxx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.6683417085427137,-0.5527638190954773
ABNB,DAVI,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.1507537688442211,-4.748743718592965
ABNB,DAVI,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.1507537688442211,-4.748743718592965
ABNB,DAVI,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.1507537688442211,-4.748743718592965
ABNB,DAVI,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.1507537688442211,-4.748743718592965
ABNB,DAVI,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,0.1507537688442211,-4.748743718592965
ABNB,DAVIcx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,DAVIcx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,DAVIcx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,DAVIcx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,DAVIcx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,DAVIxx,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,DAVIxx,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,DAVIxx,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,DAVIxx,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,DAVIxx,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,3.0,0.0
ABNB,TULL,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.758793969849246,-0.4020100502512563
ABNB,TULL,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.608040201005025,-0.6532663316582915
ABNB,TULL,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.7889447236180906,-0.35175879396984927
ABNB,TULL,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.698492462311558,-0.5025125628140703
ABNB,TULL,4,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.698492462311558,-0.5025125628140703
ABNB,TULLnd,0,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.758793969849246,-0.4020100502512563
ABNB,TULLnd,1,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.608040201005025,-0.6532663316582915
ABNB,TULLnd,2,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.7889447236180906,-0.35175879396984927
ABNB,TULLnd,3,200,1,200,0.0,1.0,0.0,0.0,0.995,0.0,2.698492462311558,-0.5025125628140703
