subject,opponent,seed,num_rounds,first_round,last_round,per_c,per_C,per_cC,per_cD,per_dC,per_dD,avg_score,avg_net_score
TIFT,ALTRcx,2,200,1,200,1.0,0.5025125628140703,0.5,0.495,0.0,0.0,2.5025125628140703,0.0
TIFT,ALTRcx,3,200,1,200,1.0,0.5025125628140703,0.5,0.495,0.0,0.0,2.5025125628140703,0.0
TIFT,ALTRcx,4,200,1,200,1.0,0.5025125628140703,0.5,0.495,0.0,0.0,2.5025125628140703,0.0
TIFT,LIAR,0,200,1,200,1.0,0.005025125628140725,0.005,0.99,0.0,0.0,0.9949748743718593,-0.02512562814070352
TIFT,LIAR,1,200,1,200,1.0,0.005025125628140725,0.005,0.99,0.0,0.0,0.9949748743718593,-0.02512562814070352
TIFT,LIAR,2,200,1,200,1.0,0.005025125628140725,0.005,0.99,0.0,0.0,0.9949748743718593,-0.02512562814070352
TIFT,LIAR,3,200,1,200,1.0,0.005025125628140725,0.005,0.99,0.0,0.0,0.9949748743718593,-0.02512562814070352
TIFT,LIAR,4,200,1,200,1.0,0.005025125628140725,0.005,0.99,0.0,0.0,0.9949748743718593,-0.02512562814070352
TIFT,COOP,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,COOP,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,COOP,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,COOP,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,COOP,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DEFT,0,200,1,200,0.005025125628140725,0.005025125628140725,0.005,0.0,0.0,0.99,0.9949748743718593,-0.02512562814070352
TIFT,DEFT,1,200,1,200,0.005025125628140725,0.005025125628140725,0.005,0.0,0.0,0.99,0.9949748743718593,-0.02512562814070352
TIFT,DEFT,2,200,1,200,0.005025125628140725,0.005025125628140725,0.005,0.0,0.0,0.99,0.9949748743718593,-0.02512562814070352
TIFT,DEFT,3,200,1,200,0.005025125628140725,0.005025125628140725,0.005,0.0,0.0,0.99,0.9949748743718593,-0.02512562814070352
TIFT,DEFT,4,200,1,200,0.005025125628140725,0.005025125628140725,0.005,0.0,0.0,0.99,0.9949748743718593,-0.02512562814070352
TIFT,ABNB,0,200,1,200,0.005025125628140725,1.0,0.005,0.0,0.99,0.0,3.0,0.0
TIFT,ABNB,1,200,1,200,0.005025125628140725,1.0,0.005,0.0,0.99,0.0,3.0,0.0
TIFT,ABNB,2,200,1,200,0.005025125628140725,1.0,0.005,0.0,0.99,0.0,3.0,0.0
TIFT,ABNB,3,200,1,200,0.005025125628140725,1.0,0.005,0.0,0.99,0.0,3.0,0.0
TIFT,ABNB,4,200,1,200,0.005025125628140725,1.0,0.005,0.0,0.99,0.0,3.0,0.0
TIFT,GRUD,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUD,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUD,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUD,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUD,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUDcx,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUDcx,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUDcx,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUDcx,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUDcx,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUDxx,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUDxx,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUDxx,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUDxx,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GRUDxx,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,STRA,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,STRA,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,STRA,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,STRA,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,STRA,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,STRAfv,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,STRAfv,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,STRAfv,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,STRAfv,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,STRAfv,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,STRAcx,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,STRAcx,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,STRAcx,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,STRAcx,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,STRAcx,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,STRAxx,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,STRAxx,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,STRAxx,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,STRAxx,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,STRAxx,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,2.9849246231155777,-0.02512562814070352
TIFT,GRAS,0,200,1,200,0.9949748743718593,0.6281407035175879,0.625,0.365,0.0,0.005,2.613065326633166,-0.02512562814070352
TIFT,GRAS,1,200,1,200,0.9949748743718593,0.6281407035175879,0.625,0.365,0.0,0.005,2.613065326633166,-0.02512562814070352
TIFT,GRAS,2,200,1,200,0.9949748743718593,0.6281407035175879,0.625,0.365,0.0,0.005,2.613065326633166,-0.02512562814070352
